# word	lang_code	lang_name	definition_en	definition_lang	glyph_string
balance	en	English	balance	balance	◕✦✫▼▲✩☆◐○✬✽⚛✸✰▲✩◌♣☯✹♤◎◆♠♡◉✶✮▲✩☼◓◉♡◌♣✧△✪▽✻⚜☆◐✮✶⚝✺✪▽▼✫✷✯◔☀✼⚚⚚✼✾◈◑☾
balance	es	Spanish	balance	balance	☀◔♤◎☆◐✬○✧△◒☽◌♣☯✹★◍◒☽⚚✼◇✿△✧▲✩▼✫△✧☆◐☯✹◇✿◍★✪▽✺⚝✫▼☼◓♣◌☽◒◕✦◉♡✺⚝▲✩◎♤✸✰
balance	ru	Russian	balance	баланс	◑☾✮✶♤◎☽◒★◍⚛✽☾◑◈✾⚝✺⚚✼○✬⚝✺♣◌◓☼✯✷⚜✻✮✶✦◕◎♤✭●◔☀✹☯⚜✻✮✶☼◓⚚✼✬○✯✷♠◆○✬✿◇✼⚚
balance	fr	French	balance	équilibre	♤◎✸✰☯✹✪▽✼⚚✷✯✹☯◍★✷✯☽◒✾◈◓☼△✧✬○♤◎✦◕✬○☆◐○✬✺⚝◑☾♠◆✾◈✧△◍★◐☆▽✪▲✩⚛✽✻⚜◒☽◍★
balance	de	German	balance	Gleichgewicht	☾◑✶✮✼⚚☾◑▼✫♣◌✮✶▽✪△✧◈✾✮✶♤◎△✧▽✪☆◐▼✫♣◌✯✷✼⚚✹☯✻⚜◕✦◌♣◎♤✾◈◓☼◈✾◇✿♠◆◒☽◆♠✧△
balance	zh-CN	Chinese (Simplified)	balance	平衡	✻⚜✺⚝▲✩✯✷◒☽✷✯✮✶◆♠✸✰✶✮✽⚛◌♣✿◇✺⚝♣◌○✬✯✷☾◑◔☀✽⚛◒☽◒☽✸✰◌♣✶✮⚝✺✹☯✿◇◈✾◓☼✾◈⚜✻
balance	zh-TW	Chinese (Traditional)	balance	平衡	✸✰◍★♣◌◆♠◈✾♣◌☀◔☀◔◔☀✰✸▼✫△✧✭●⚚✼✰✸◆♠✦◕✬○✶✮◈✾◌♣✪▽◍★✶✮☽◒◔☀▽✪✶✮☀◔☆◐✺⚝⚚✼
balance	hi	Hindi	balance	संतुलन	◕✦◕✦☽◒▲✩⚚✼✷✯◌♣☽◒♤◎✩▲✶✮◆♠▲✩○✬✧△★◍◍★♣◌✺⚝✪▽✺⚝✽⚛♠◆◉♡♠◆◔☀✧△✸✰✬○✩▲◌♣♣◌
balance	ar	Arabic	balance	توازن	☽◒◎♤✹☯⚛✽✪▽⚜✻◔☀▲✩✪▽◕✦◓☼♡◉⚚✼✭●△✧☽◒✩▲✽⚛✧△✶✮✻⚜✦◕◕✦△✧✿◇✹☯✸✰△✧☯✹✸✰◎♤✻⚜
balance	pt	Portuguese	balance	equilíbrio	◈✾◐☆◇✿◇✿✹☯◉♡◈✾♠◆✦◕◆♠⚚✼✻⚜☀◔✯✷△✧✷✯◑☾△✧◑☾◒☽◑☾◎♤✦◕☼◓⚚✼✽⚛⚚✼▼✫✭●◕✦✬○♡◉
balance	bn	Bengali	balance	ভারসাম্য	✪▽☆◐☯✹◉♡✦◕⚚✼◑☾◆♠✷✯◉♡✼⚚◎♤✼⚚✮✶◌♣♠◆✷✯☼◓☾◑✫▼✷✯✿◇△✧♠◆⚚✼▼✫⚜✻◐☆☽◒△✧★◍♤◎
balance	ja	Japanese	balance	バランス	✽⚛✰✸◈✾✸✰◓☼◒☽✪▽●✭✿◇○✬△✧◇✿✻⚜♤◎☼◓☽◒◕✦✦◕✾◈✺⚝✿◇◎♤✸✰✽⚛⚝✺✶✮☆◐✫▼✯✷✼⚚●✭⚝✺
balance	ko	Korean	balance	균형	◎♤♤◎▲✩✺⚝✯✷☼◓●✭☼◓♡◉◈✾⚝✺✪▽✾◈⚜✻✾◈♡◉☼◓○✬☽◒◕✦✪▽✦◕▼✫✪▽✿◇▲✩✽⚛✶✮▽✪✿◇▽✪△✧
balance	it	Italian	balance	bilancia	○✬◓☼✻⚜◎♤♠◆☾◑✧△✬○▲✩✰✸✭●✹☯▽✪☀◔◈✾◎♤✺⚝●✭✭●◇✿✰✸✮✶✮✶◔☀◐☆◓☼⚛✽▼✫✽⚛✰✸♠◆●✭
balance	tr	Turkish	balance	denge	◆♠☆◐✶✮✻⚜◐☆⚝✺✶✮✩▲⚚✼✫▼✻⚜◑☾◐☆✫▼◕✦♣◌●✭✼⚚✭●◇✿◕✦✭●✧△☽◒☼◓✾◈○✬◎♤✸✰◈✾☆◐♤◎
balance	vi	Vietnamese	balance	THĂNG BẰNG	◓☼☾◑☯✹◐☆◑☾✯✷☆◐◓☼●✭✸✰☾◑✧△✬○◇✿◇✿▼✫✧△✶✮✻⚜✪▽☀◔▼✫⚛✽✶✮○✬☾◑✻⚜◐☆✷✯✾◈✷✯✷✯
balance	pl	Polish	balance	balansować	✦◕✫▼◕✦◇✿✶✮⚚✼⚜✻◌♣◒☽◆♠◇✿★◍✦◕✾◈▽✪◈✾✧△✾◈✪▽✯✷⚜✻☽◒✻⚜✰✸☯✹✺⚝▲✩☆◐✸✰◌♣✽⚛◒☽
balance	uk	Ukrainian	balance	баланс	✭●✭●✽⚛◌♣◌♣✹☯✶✮⚚✼⚝✺☯✹✽⚛♡◉⚝✺◆♠♣◌♣◌★◍◑☾✰✸○✬♠◆☽◒☆◐✻⚜▽✪♡◉✩▲✾◈✺⚝✶✮☽◒◎♤
balance	id	Indonesian	balance	keseimbangan	✬○☀◔◑☾⚛✽◈✾✸✰✬○⚛✽✦◕◇✿✻⚜☾◑◐☆✼⚚✪▽◐☆⚜✻◓☼♠◆★◍◇✿✻⚜✻⚜✾◈◐☆♡◉✼⚚✦◕♡◉△✧★◍✬○
balance	ms	Malay	balance	keseimbangan	☾◑◐☆✿◇✽⚛♣◌✼⚚✷✯✦◕✽⚛♡◉✾◈✬○▲✩✯✷▲✩✧△✾◈✿◇☾◑◌♣▼✫✿◇♤◎☽◒♠◆✽⚛✬○☆◐◉♡◈✾▲✩⚚✼
balance	th	Thai	balance	สมดุล	◔☀✹☯◔☀◕✦✸✰✸✰☆◐◈✾✧△✼⚚▽✪☾◑✯✷◌♣◎♤⚜✻☯✹☽◒△✧☆◐◐☆♤◎✦◕◎♤✩▲⚚✼⚝✺✯✷◓☼⚚✼✼⚚✦◕
balance	ta	Tamil	balance	சமநிலை	◈✾☯✹✹☯◐☆⚝✺✫▼◇✿✦◕✷✯✮✶✶✮◈✾♣◌▽✪✦◕◆♠◓☼△✧◉♡○✬✦◕✩▲▼✫✭●⚜✻✿◇☽◒☽◒✯✷✼⚚♣◌◌♣
balance	te	Telugu	balance	సంతులనం	△✧✾◈⚛✽◓☼♠◆✿◇●✭☆◐♣◌⚛✽✾◈✽⚛✰✸☼◓◆♠✫▼✸✰◔☀✻⚜◍★◈✾✩▲♤◎✷✯◈✾☆◐◇✿◑☾☀◔◐☆☯✹★◍
